condition,estimator,n_seeds,n_events,miss_rate,mean_latency_s,std_latency_s,min_latency_s,max_latency_s,late_frac,extra_m_at_8mps
ClearNoon,height_prior,4,5,0.0,-0.04157339048596141,0.45126548957035356,-0.6655250515322173,0.5507707591756272,0.4,-0.3325871238876913
ClearNoon,ground_plane,4,5,0.2,0.1871276267871469,0.026424399884981204,0.1682690359916883,0.2262811954829189,1.0,1.4970210142971752
ClearNoon,fused,4,5,0.2,0.1750142855215193,0.045883305388599735,0.121046863375831,0.2328717521934749,1.0,1.4001142841721543
CloudyNoon,height_prior,4,5,0.0,-0.05992183480905168,0.4581696638940485,-0.7040164943740024,0.5311154737396251,0.4,-0.47937467847241344
CloudyNoon,ground_plane,4,5,0.2,0.18468403028274677,0.028396383406169835,0.1626108163045749,0.2262811954829153,1.0,1.4774722422619742
CloudyNoon,fused,4,5,0.2,0.17054662194838682,0.05229626494309152,0.1052735951091001,0.2328717521934749,1.0,1.3643729755870946
WetNoon,height_prior,4,5,0.0,-0.0505155517014387,0.43889250218323705,-0.6655250515322173,0.5220000332306327,0.4,-0.4041244136115096
WetNoon,ground_plane,4,5,0.2,0.19231754335516,0.02572342517777022,0.1682690359916883,0.2262811954829153,1.0,1.53854034684128
WetNoon,fused,4,5,0.2,0.1803605187328001,0.04616785894884097,0.121046863375831,0.2328717521934749,1.0,1.4428841498624008
ClearSunset,height_prior,4,5,0.0,-0.052068847147950924,0.44465412297359636,-0.6655250515322173,0.5250639389967127,0.4,-0.4165507771836074
ClearSunset,ground_plane,4,5,0.2,0.18566197870463338,0.02734210704876654,0.1682690359916883,0.2262811954829153,1.0,1.485295829637067
ClearSunset,fused,4,5,0.2,0.17450461041786178,0.045996079451253065,0.121046863375831,0.2328717521934749,1.0,1.3960368833428942
MidRainyNoon,height_prior,4,5,0.0,-0.037417165824962226,0.4504873642744354,-0.6655250515322173,0.572360347575696,0.4,-0.2993373265996978
MidRainyNoon,ground_plane,4,5,0.2,0.21582976951284216,0.07279120232653456,0.1558938457228365,0.3193940098778043,1.0,1.7266381561027373
MidRainyNoon,fused,4,5,0.2,0.19105236231416617,0.0890780720500734,0.1208895604284343,0.3214637880748618,1.0,1.5284188985133293
ClearNight,height_prior,4,5,0.0,-0.038508631104341606,0.4472028846546694,-0.6655250515322173,0.5479079234401745,0.4,-0.30806904883473285
ClearNight,ground_plane,4,5,0.2,0.1854689034913059,0.026007835635104164,0.1552729907851535,0.2104380956551423,1.0,1.4837512279304472
ClearNight,fused,4,5,0.2,0.16355199455770728,0.049005553549455946,0.1052735951091001,0.2247003607275566,1.0,1.3084159564616582
HardRainNoon,height_prior,4,5,0.0,-0.012767030782813266,0.5466923866112943,-0.6655250515322173,0.7730613640062494,0.4,-0.10213624626250613
HardRainNoon,ground_plane,4,5,0.2,0.32272850763867567,0.20244464189010397,0.1260122612325283,0.6023431193679585,1.0,2.5818280611094053
HardRainNoon,fused,4,5,0.2,0.29875714410241816,0.21285102168739406,0.1225338512698357,0.6081135830053164,1.0,2.3900571528193453
HardRainNight,height_prior,4,5,0.0,0.0626688469366961,0.5203689699740672,-0.6511554438923142,0.7908513836555002,0.6,0.5013507754935688
HardRainNight,ground_plane,4,5,0.2,0.3793544772519164,0.22139997905755884,0.1565301378556292,0.6649844716388742,1.0,3.034835818015331
HardRainNight,fused,4,5,0.2,0.37171110445077904,0.22210909811563775,0.1564245126268382,0.6699502594428282,1.0,2.9736888356062323
