dataset,condition,band,n,mean_err_m
results,ClearNight,0-20m,49,1.217
results,ClearNight,20-40m,98,1.298
results,ClearNight,40-60m,36,0.325
results,ClearNight,60-90m,13,0.421
results,ClearNoon,0-20m,49,1.228
results,ClearNoon,20-40m,96,1.256
results,ClearNoon,40-60m,39,1.42
results,ClearNoon,60-90m,17,0.147
results,ClearSunset,0-20m,49,1.231
results,ClearSunset,20-40m,98,1.142
results,ClearSunset,40-60m,39,1.473
results,ClearSunset,60-90m,16,1.67
results,CloudyNoon,0-20m,49,1.221
results,CloudyNoon,20-40m,98,1.22
results,CloudyNoon,40-60m,39,1.591
results,CloudyNoon,60-90m,17,0.147
results,HardRainNight,0-20m,49,1.703
results,HardRainNight,20-40m,96,1.758
results,HardRainNight,40-60m,19,4.731
results,HardRainNight,60-90m,3,8.512
results,HardRainNoon,0-20m,49,1.492
results,HardRainNoon,20-40m,99,1.295
results,HardRainNoon,40-60m,35,2.031
results,HardRainNoon,60-90m,17,3.347
results,MidRainyNoon,0-20m,49,1.258
results,MidRainyNoon,20-40m,98,1.261
results,MidRainyNoon,40-60m,39,1.435
results,MidRainyNoon,60-90m,17,-0.066
results,WetNoon,0-20m,49,1.217
results,WetNoon,20-40m,96,1.258
results,WetNoon,40-60m,36,1.283
results,WetNoon,60-90m,17,-0.044
results_s43,ClearNight,0-20m,80,0.993
results_s43,ClearNight,20-40m,88,1.802
results_s43,ClearNight,40-60m,128,0.066
results_s43,ClearNight,60-90m,37,6.258
results_s43,ClearNoon,0-20m,74,0.992
results_s43,ClearNoon,20-40m,87,1.324
results_s43,ClearNoon,40-60m,127,-0.386
results_s43,ClearNoon,60-90m,37,6.167
results_s43,ClearSunset,0-20m,73,0.983
results_s43,ClearSunset,20-40m,85,1.451
results_s43,ClearSunset,40-60m,127,-0.191
results_s43,ClearSunset,60-90m,37,5.989
results_s43,CloudyNoon,0-20m,75,0.973
results_s43,CloudyNoon,20-40m,89,1.463
results_s43,CloudyNoon,40-60m,128,-0.276
results_s43,CloudyNoon,60-90m,37,6.002
results_s43,HardRainNight,0-20m,80,2.05
results_s43,HardRainNight,20-40m,86,3.82
results_s43,HardRainNight,40-60m,116,0.937
results_s43,HardRainNight,60-90m,35,6.635
results_s43,HardRainNoon,0-20m,77,1.959
results_s43,HardRainNoon,20-40m,91,2.056
results_s43,HardRainNoon,40-60m,126,0.118
results_s43,HardRainNoon,60-90m,37,10.207
results_s43,MidRainyNoon,0-20m,77,1.206
results_s43,MidRainyNoon,20-40m,86,1.305
results_s43,MidRainyNoon,40-60m,128,-0.053
results_s43,MidRainyNoon,60-90m,37,9.032
results_s43,WetNoon,0-20m,73,0.997
results_s43,WetNoon,20-40m,88,1.419
results_s43,WetNoon,40-60m,127,-0.489
results_s43,WetNoon,60-90m,37,6.474
results_s44,ClearNight,0-20m,129,0.868
results_s44,ClearNight,20-40m,208,0.929
results_s44,ClearNight,40-60m,89,1.749
results_s44,ClearNight,60-90m,56,2.533
results_s44,ClearNoon,0-20m,128,0.886
results_s44,ClearNoon,20-40m,225,0.743
results_s44,ClearNoon,40-60m,89,1.526
results_s44,ClearNoon,60-90m,56,-0.033
results_s44,ClearSunset,0-20m,128,0.892
results_s44,ClearSunset,20-40m,225,0.717
results_s44,ClearSunset,40-60m,89,1.278
results_s44,ClearSunset,60-90m,56,1.158
results_s44,CloudyNoon,0-20m,128,0.899
results_s44,CloudyNoon,20-40m,225,0.755
results_s44,CloudyNoon,40-60m,88,1.671
results_s44,CloudyNoon,60-90m,55,1.363
results_s44,HardRainNight,0-20m,122,1.303
results_s44,HardRainNight,20-40m,206,3.371
results_s44,HardRainNight,40-60m,88,6.825
results_s44,HardRainNight,60-90m,52,8.192
results_s44,HardRainNoon,0-20m,129,1.142
results_s44,HardRainNoon,20-40m,216,1.409
results_s44,HardRainNoon,40-60m,87,3.524
results_s44,HardRainNoon,60-90m,51,4.048
results_s44,MidRainyNoon,0-20m,128,0.913
results_s44,MidRainyNoon,20-40m,208,0.975
results_s44,MidRainyNoon,40-60m,84,2.114
results_s44,MidRainyNoon,60-90m,55,2.22
results_s44,WetNoon,0-20m,128,0.904
