dataset,condition,matched,missed,recall
dataset,ClearNight,196,11,0.9469
dataset,ClearNoon,201,6,0.971
dataset,ClearSunset,202,5,0.9758
dataset,CloudyNoon,203,4,0.9807
dataset,HardRainNight,167,40,0.8068
dataset,HardRainNoon,200,7,0.9662
dataset,MidRainyNoon,203,4,0.9807
dataset,WetNoon,198,9,0.9565
dataset_s43,ClearNight,333,4,0.9881
dataset_s43,ClearNoon,325,12,0.9644
dataset_s43,ClearSunset,322,15,0.9555
dataset_s43,CloudyNoon,329,8,0.9763
dataset_s43,HardRainNight,317,20,0.9407
dataset_s43,HardRainNoon,331,6,0.9822
dataset_s43,MidRainyNoon,328,9,0.9733
dataset_s43,WetNoon,325,12,0.9644
dataset_s44,ClearNight,485,17,0.9661
dataset_s44,ClearNoon,500,2,0.996
dataset_s44,ClearSunset,500,2,0.996
dataset_s44,CloudyNoon,498,4,0.992
dataset_s44,HardRainNight,471,31,0.9382
dataset_s44,HardRainNoon,484,18,0.9641
dataset_s44,MidRainyNoon,476,26,0.9482
dataset_s44,WetNoon,498,4,0.992
dataset_s45,ClearNight,277,39,0.8766
dataset_s45,ClearNoon,282,34,0.8924
dataset_s45,ClearSunset,280,36,0.8861
dataset_s45,CloudyNoon,291,25,0.9209
dataset_s45,HardRainNight,175,141,0.5538
dataset_s45,HardRainNoon,282,34,0.8924
dataset_s45,MidRainyNoon,289,27,0.9146
dataset_s45,WetNoon,281,35,0.8892
