condition,estimator,n_seeds,n_frames,mean_ttc_err_s,over_250ms_frac,over_250ms_min,over_250ms_max
ClearNoon,height_prior,4,460,-0.20297984835157307,0.24999999999999997,0.0,0.925
ClearNoon,ground_plane,4,460,0.15782077160363586,0.08043478260869562,0.0583333333333333,0.1111111111111111
ClearNoon,fused,4,460,0.008061238912958,0.056521739130434755,0.0,0.1666666666666666
CloudyNoon,height_prior,4,464,-0.2008086790139452,0.2543103448275862,0.0,0.926829268292683
CloudyNoon,ground_plane,4,464,0.1552504265605629,0.08189655172413789,0.0617283950617283,0.1103448275862069
CloudyNoon,fused,4,464,0.010011160642862392,0.06034482758620685,0.0,0.1707317073170731
WetNoon,height_prior,4,460,-0.20159050514938598,0.2543478260869565,0.0,0.9416666666666668
WetNoon,ground_plane,4,460,0.1546992453993381,0.07826086956521736,0.0493827160493827,0.1041666666666666
WetNoon,fused,4,460,0.007712449434757148,0.06086956521739128,0.0,0.1833333333333333
ClearSunset,height_prior,4,461,-0.19842160312506008,0.24078091106290667,0.0,0.9083333333333332
ClearSunset,ground_plane,4,461,0.15696451418623777,0.08459869848156179,0.0493827160493827,0.1103448275862069
ClearSunset,fused,4,461,0.008362174683761572,0.06290672451193055,0.0,0.2
MidRainyNoon,height_prior,4,464,-0.18833810367493933,0.24784482758620682,0.0,0.9032258064516128
MidRainyNoon,ground_plane,4,464,0.1708112547817825,0.11637931034482753,0.0701754385964912,0.1586206896551724
MidRainyNoon,fused,4,464,0.02491698535946818,0.1012931034482758,0.0,0.2419354838709677
ClearNight,height_prior,4,464,-0.22486772482447628,0.23060344827586204,0.0,0.824
ClearNight,ground_plane,4,464,0.15748797268467776,0.09913793103448273,0.037037037037037,0.1468531468531468
ClearNight,fused,4,464,0.006558779342835893,0.049568965517241347,0.0,0.128
HardRainNoon,height_prior,4,466,-0.15883275005863534,0.2703862660944206,0.0,0.864
HardRainNoon,ground_plane,4,466,0.21820457983523653,0.2532188841201717,0.146551724137931,0.392
HardRainNoon,fused,4,466,0.06519858757083452,0.2145922746781116,0.0086206896551724,0.48
HardRainNight,height_prior,4,447,-0.05498230898880918,0.29977628635346754,0.0,0.8
HardRainNight,ground_plane,4,447,0.27022487596226924,0.40268456375838924,0.2982456140350877,0.528
HardRainNight,fused,4,447,0.14531691054625948,0.3243847874720358,0.0964912280701754,0.576
